-13.97,-3.41,-66.76,207.40,-137.13,27.46,-58.57,-104.29,167.64,44.55,-85.01,26.01,-13.48,-22.59,-92.06,179.36,-204.47,115.60,6.36,51.70,-127.80,109.24,96.34,-172.03,279.21,23.27,-114.99,-13.19,-401.35,223.63,75.05,-533.73,741.49,405.22,439.14,1070.99,-123.02,-106.42,34.07,8.81,15.32,96.84,-20.58,121.05,34.68,91.66,40.53,36.59,-110.68,43.54,-108.72,-2.39,74.90,-60.80,56.82,76.26,97.84,58.54,-24.44,37.59,117.76,0.07,-126.89,-97.92,-3.16,-166.21,-76.58,-22.89,-67.80,-49.48,-108.33,-172.09,-6.15,-57.54,-38.48,-168.33,-37.17,-106.25,12.66,-70.43,-34.75,-22.47,-20.16,19.23,-12.58,-5.43,-130.02,29.98,-93.56,-31.61,-109.62,-13.53,-136.73,-45.76,-119.96,7.40,2.56,-62.02,-74.53,-140.58
-19.08,38.05,-111.63,184.79,-72.15,-33.66,14.43,-164.96,216.05,5.53,-74.32,17.67,-22.41,5.02,-133.86,217.07,-231.45,126.94,4.18,45.59,-151.69,155.41,85.18,-147.67,298.23,-28.77,-106.10,43.48,-431.98,328.35,-124.81,-295.98,743.88,382.90,511.96,1486.27,-119.52,-108.92,44.68,-0.63,17.15,88.67,-27.34,109.15,23.05,111.20,26.09,23.95,-119.58,20.74,-60.17,30.80,92.53,-56.38,75.80,70.38,59.59,15.38,-48.76,-0.87,90.79,-2.72,-122.79,-107.11,1.77,-160.02,-100.03,-32.67,-42.81,-61.96,-92.24,-166.48,-12.50,-94.31,-29.31,-177.62,-60.93,-106.46,3.70,-60.50,-64.55,-50.13,-16.27,-17.03,-9.78,-28.82,-146.75,17.29,-116.33,-70.63,-107.37,-41.00,-139.37,-81.71,-115.46,-13.02,-24.84,-85.06,-98.87,-155.87
-22.86,76.85,-148.68,149.24,-2.11,-92.42,86.42,-214.08,249.32,-33.88,-58.42,8.08,-29.78,32.28,-166.28,239.56,-242.21,129.38,1.72,36.28,-164.95,190.68,68.06,-112.96,296.35,-78.79,-89.78,97.10,-432.35,410.07,-315.92,-37.50,694.15,333.74,548.90,1797.40,-107.64,-103.80,52.16,-10.04,17.78,74.30,-32.19,89.59,9.80,122.96,9.83,9.63,-120.11,-3.51,-7.40,61.83,103.66,-48.00,89.47,59.56,17.16,-28.87,-69.67,-39.26,57.45,-5.32,-110.08,-108.79,6.57,-142.63,-116.47,-40.16,-14.82,-70.10,-69.68,-149.20,-17.96,-124.48,-18.08,-174.46,-80.41,-99.21,-5.52,-46.33,-89.82,-74.27,-11.23,-52.10,-6.30,-50.19,-153.19,3.40,-130.96,-104.69,-97.60,-65.60,-132.25,-111.93,-102.88,-32.52,-50.51,-102.14,-116.28,-160.25
-25.03,110.26,-175.32,103.23,68.08,-144.70,152.35,-248.20,265.12,-70.92,-38.43,-2.07,-35.07,57.28,-187.05,245.27,-235.99,122.76,-0.87,24.44,-166.65,212.60,46.17,-70.34,273.71,-123.29,-67.17,143.92,-402.42,463.06,-484.90,223.62,595.79,261.21,547.39,1982.59,-88.22,-91.40,55.98,-18.74,17.17,54.72,-34.78,63.76,-4.14,126.10,-7.12,-5.36,-112.22,-27.52,45.88,88.53,107.54,-36.27,96.88,44.57,-26.48,-71.08,-85.70,-74.90,20.09,-7.55,-89.66,-102.85,10.91,-115.23,-124.75,-44.84,14.20,-73.33,-42.24,-121.46,-22.17,-145.92,-5.59,-159.08,-94.26,-85.00,-14.35,-28.91,-108.80,-93.22,-5.41,-83.52,-2.37,-68.04,-148.91,-10.74,-136.41,-131.42,-80.99,-85.60,-115.86,-134.31,-83.09,-49.75,-72.63,-112.07,-125.54,-153.39
-25.46,135.94,-189.67,49.98,133.49,-186.85,207.60,-264.92,262.35,-102.98,-15.75,-12.08,-37.89,78.26,-194.71,233.79,-213.25,107.53,-3.40,10.88,-156.68,219.63,21.04,-22.79,231.89,-159.15,-39.86,180.65,-344.30,483.60,-619.90,469.06,455.67,170.37,507.52,2028.87,-62.61,-72.59,55.88,-26.13,15.35,31.30,-34.93,33.46,-17.79,120.40,-23.58,-19.98,-96.47,-49.60,95.95,109.03,103.88,-21.99,97.49,26.46,-68.25,-108.32,-95.72,-105.29,-18.67,-9.25,-62.96,-89.71,14.48,-79.77,-124.28,-46.38,42.24,-71.41,-11.84,-85.22,-24.83,-157.14,7.30,-132.55,-101.51,-64.85,-22.18,-9.47,-120.16,-105.63,0.78,-109.08,1.72,-81.13,-134.19,-24.12,-132.30,-148.94,-58.70,-99.61,-91.36,-147.28,-57.48,-63.49,-89.67,-114.14,-126.01,-135.79
-24.09,152.10,-190.73,-6.76,189.55,-215.90,248.31,-263.09,241.19,-127.84,8.04,-21.24,-38.06,93.76,-188.73,205.93,-175.56,84.77,-5.68,-3.45,-135.73,211.26,-5.56,26.36,173.82,-183.87,-9.75,204.73,-262.05,470.25,-711.46,681.64,283.63,67.59,432.10,1932.99,-32.62,-48.71,51.87,-31.68,12.46,5.70,-32.64,0.82,-30.19,106.27,-38.38,-33.20,-73.96,-68.20,139.30,121.89,92.94,-6.17,91.27,6.49,-105.25,-137.97,-99.04,-128.31,-56.13,-10.30,-31.84,-70.28,17.05,-38.71,-115.11,-44.66,67.31,-64.50,19.39,-43.00,-25.75,-157.34,19.67,-96.74,-101.64,-40.14,-28.45,10.64,-123.10,-110.64,6.93,-127.00,5.69,-88.53,-110.07,-35.81,-118.92,-156.03,-32.30,-106.64,-60.45,-149.93,-27.84,-72.79,-100.42,-108.22,-117.65,-108.67
-21.04,157.61,-178.42,-63.03,232.33,-229.83,271.63,-242.82,203.13,-143.73,31.26,-28.91,-35.56,102.69,-169.53,163.65,-125.57,56.07,-7.57,-17.53,-105.27,188.09,-31.77,73.66,103.57,-195.69,21.05,214.46,-161.44,423.96,-753.18,846.46,91.72,-39.92,326.39,1701.67,-0.35,-21.40,44.22,-35.02,8.69,-20.31,-28.06,-31.88,-40.48,84.69,-50.49,-44.09,-46.27,-82.03,172.89,126.21,75.49,10.08,78.66,-13.93,-134.87,-157.95,-95.41,-142.34,-89.66,-10.63,1.50,-45.92,18.41,5.06,-97.88,-39.82,87.67,-53.06,49.26,2.23,-24.86,-146.53,30.67,-54.14,-94.66,-12.63,-32.73,30.00,-117.41,-107.90,12.59,-136.02,9.26,-89.73,-78.23,-44.99,-97.21,-152.18,-3.64,-106.19,-25.30,-142.08,3.76,-76.98,-104.14,-94.71,-101.04,-73.93
-16.52,152.07,-153.62,-114.89,258.84,-227.65,275.90,-205.53,150.84,-149.55,52.30,-34.56,-30.57,104.42,-138.44,109.89,-66.78,23.45,-8.93,-30.38,-67.43,151.74,-55.76,115.80,26.07,-193.81,50.37,209.16,-49.52,347.96,-742.12,951.96,-106.62,-144.64,197.82,1351.11,31.95,7.40,33.47,-35.90,4.31,-44.90,-21.51,-62.35,-47.92,57.17,-59.07,-51.89,-15.33,-90.10,194.36,121.68,52.75,25.63,60.53,-33.38,-155.04,-166.87,-85.10,-146.39,-116.90,-10.22,34.74,-18.35,18.49,48.47,-73.78,-32.19,101.88,-37.91,75.68,47.30,-22.23,-125.44,39.51,-7.76,-81.03,15.77,-34.72,47.26,-103.49,-97.60,17.36,-135.51,12.19,-84.64,-40.92,-51.02,-68.69,-137.67,25.28,-98.30,11.61,-124.27,35.08,-75.78,-100.56,-74.57,-77.36,-34.02
-10.84,135.87,-118.05,-158.69,267.20,-209.52,260.85,-153.84,87.99,-144.90,69.66,-37.78,-23.44,98.84,-97.66,48.44,-3.32,-10.82,-9.66,-41.10,-24.87,104.76,-75.84,149.82,-53.26,-178.35,76.15,189.21,65.87,247.58,-679.07,990.77,-297.49,-239.22,55.38,905.89,62.02,35.68,20.38,-34.27,-0.36,-66.34,-13.46,-88.45,-52.02,25.66,-63.50,-56.06,16.68,-91.87,202.22,108.63,26.31,39.38,38.17,-50.48,-164.34,-164.09,-68.83,-140.18,-135.95,-9.08,65.55,10.51,17.27,88.49,-44.52,-22.30,108.96,-20.10,96.80,89.06,-18.04,-95.57,45.59,39.17,-61.74,43.07,-34.27,61.20,-82.33,-80.46,20.92,-125.51,14.25,-73.62,-0.73,-53.48,-35.35,-113.51,52.43,-83.53,47.72,-97.75,63.95,-69.27,-89.93,-49.20,-48.25,8.27
-4.39,110.16,-74.21,-191.38,256.84,-176.71,227.52,-91.38,18.96,-130.09,82.15,-38.36,-14.67,86.34,-50.03,-16.41,60.38,-44.34,-9.72,-48.95,19.44,50.44,-90.60,173.35,-128.86,-150.39,96.61,156.00,176.65,129.85,-568.43,960.15,-467.51,-317.04,-90.93,397.19,87.73,61.46,5.86,-30.24,-5.02,-83.13,-4.46,-108.35,-52.46,-7.66,-63.49,-56.30,47.52,-87.20,195.90,87.97,-1.97,50.37,13.13,-64.05,-162.14,-149.81,-47.73,-124.16,-145.48,-7.32,91.76,38.63,14.84,122.31,-12.14,-10.85,108.40,-0.88,111.13,124.58,-12.59,-59.00,48.48,83.36,-38.11,67.35,-31.42,70.86,-55.40,-57.68,23.02,-106.71,15.32,-57.44,39.50,-52.19,0.46,-81.40,75.90,-62.90,80.48,-64.38,88.34,-57.90,-73.00,-20.38,-15.77,49.99
